t;VA_Fibonacci;VA_Lagrange;VB_Fibonacci;VB_Lagrange;TB_Fibonacci;TB_Lagrange
0; 5; 5; 1; 1; 20; 20; 
1; 4,9913; 4,9913; 1,00868; 1,00868; 20,644; 20,644; 
2; 4,9826; 4,9826; 1,01731; 1,01731; 21,2701; 21,2701; 
3; 4,97391; 4,97391; 1,02589; 1,0259; 21,8792; 21,8792; 
4; 4,96523; 4,96523; 1,03443; 1,03443; 22,4717; 22,4717; 
5; 4,95656; 4,95656; 1,04291; 1,04291; 23,0484; 23,0484; 
6; 4,94789; 4,94789; 1,05134; 1,05134; 23,6097; 23,6097; 
7; 4,93923; 4,93923; 1,05973; 1,05973; 24,1563; 24,1563; 
8; 4,93058; 4,93058; 1,06806; 1,06806; 24,6886; 24,6886; 
9; 4,92194; 4,92194; 1,07635; 1,07635; 25,2071; 25,2072; 
10; 4,9133; 4,9133; 1,08459; 1,08459; 25,7124; 25,7124; 
11; 4,90467; 4,90467; 1,09279; 1,09279; 26,2048; 26,2048; 
12; 4,89605; 4,89605; 1,10093; 1,10093; 26,6848; 26,6849; 
13; 4,88744; 4,88744; 1,10903; 1,10903; 27,1529; 27,1529; 
14; 4,87884; 4,87884; 1,11709; 1,11709; 27,6093; 27,6093; 
15; 4,87024; 4,87024; 1,1251; 1,1251; 28,0546; 28,0546; 
16; 4,86165; 4,86165; 1,13306; 1,13306; 28,489; 28,489; 
17; 4,85307; 4,85306; 1,14098; 1,14098; 28,9129; 28,9129; 
18; 4,84449; 4,84449; 1,14886; 1,14886; 29,3266; 29,3267; 
19; 4,83592; 4,83592; 1,15669; 1,15669; 29,7306; 29,7306; 
20; 4,82736; 4,82736; 1,16447; 1,16448; 30,1249; 30,125; 
21; 4,81881; 4,81881; 1,17222; 1,17222; 30,5101; 30,5101; 
22; 4,81027; 4,81027; 1,17992; 1,17992; 30,8863; 30,8863; 
23; 4,80173; 4,80173; 1,18758; 1,18758; 31,2538; 31,2539; 
24; 4,7932; 4,7932; 1,19519; 1,19519; 31,6129; 31,613; 
25; 4,78468; 4,78468; 1,20276; 1,20276; 31,9639; 31,9639; 
26; 4,77616; 4,77616; 1,21029; 1,21029; 32,3069; 32,307; 
27; 4,76766; 4,76766; 1,21778; 1,21778; 32,6423; 32,6423; 
28; 4,75916; 4,75916; 1,22523; 1,22523; 32,9702; 32,9702; 
29; 4,75067; 4,75067; 1,23263; 1,23263; 33,2908; 33,2909; 
30; 4,74218; 4,74218; 1,24; 1,24; 33,6045; 33,6045; 
31; 4,73371; 4,7337; 1,24732; 1,24732; 33,9112; 33,9113; 
32; 4,72524; 4,72524; 1,25461; 1,25461; 34,2114; 34,2114; 
33; 4,71678; 4,71677; 1,26185; 1,26185; 34,505; 34,5051; 
34; 4,70832; 4,70832; 1,26906; 1,26906; 34,7925; 34,7925; 
35; 4,69988; 4,69988; 1,27622; 1,27622; 35,0738; 35,0738; 
36; 4,69144; 4,69144; 1,28335; 1,28335; 35,3491; 35,3492; 
37; 4,68301; 4,68301; 1,29043; 1,29043; 35,6187; 35,6187; 
38; 4,67458; 4,67458; 1,29748; 1,29748; 35,8827; 35,8827; 
39; 4,66617; 4,66617; 1,30449; 1,30449; 36,1412; 36,1412; 
40; 4,65776; 4,65776; 1,31146; 1,31146; 36,3943; 36,3944; 
41; 4,64936; 4,64936; 1,3184; 1,3184; 36,6423; 36,6424; 
42; 4,64097; 4,64096; 1,32529; 1,32529; 36,8853; 36,8853; 
43; 4,63258; 4,63258; 1,33215; 1,33215; 37,1233; 37,1233; 
44; 4,6242; 4,6242; 1,33897; 1,33897; 37,3565; 37,3566; 
45; 4,61583; 4,61583; 1,34576; 1,34576; 37,5851; 37,5852; 
46; 4,60747; 4,60747; 1,3525; 1,3525; 37,8091; 37,8092; 
47; 4,59911; 4,59911; 1,35921; 1,35921; 38,0287; 38,0288; 
48; 4,59077; 4,59077; 1,36589; 1,36589; 38,244; 38,244; 
49; 4,58243; 4,58243; 1,37253; 1,37253; 38,455; 38,4551; 
50; 4,57409; 4,57409; 1,37913; 1,37913; 38,6619; 38,662; 
51; 4,56577; 4,56577; 1,3857; 1,3857; 38,8649; 38,8649; 
52; 4,55745; 4,55745; 1,39223; 1,39223; 39,0639; 39,0639; 
53; 4,54914; 4,54914; 1,39872; 1,39873; 39,259; 39,2591; 
54; 4,54084; 4,54084; 1,40519; 1,40519; 39,4505; 39,4506; 
55; 4,53255; 4,53255; 1,41161; 1,41161; 39,6383; 39,6384; 
56; 4,52426; 4,52426; 1,41801; 1,41801; 39,8226; 39,8226; 
57; 4,51598; 4,51598; 1,42436; 1,42437; 40,0034; 40,0034; 
58; 4,50771; 4,50771; 1,43069; 1,43069; 40,1808; 40,1808; 
59; 4,49945; 4,49944; 1,43698; 1,43698; 40,3549; 40,3549; 
60; 4,49119; 4,49119; 1,44323; 1,44323; 40,5258; 40,5258; 
61; 4,48294; 4,48294; 1,44946; 1,44946; 40,6935; 40,6935; 
62; 4,4747; 4,4747; 1,45564; 1,45565; 40,8581; 40,8581; 
63; 4,46646; 4,46646; 1,4618; 1,4618; 41,0197; 41,0197; 
64; 4,45824; 4,45824; 1,46792; 1,46793; 41,1783; 41,1784; 
65; 4,45002; 4,45002; 1,47401; 1,47402; 41,3341; 41,3342; 
66; 4,44181; 4,44181; 1,48007; 1,48007; 41,4871; 41,4871; 
67; 4,43361; 4,4336; 1,4861; 1,4861; 41,6373; 41,6373; 
68; 4,42541; 4,42541; 1,49209; 1,49209; 41,7848; 41,7848; 
69; 4,41722; 4,41722; 1,49805; 1,49805; 41,9296; 41,9297; 
70; 4,40904; 4,40904; 1,50398; 1,50398; 42,0719; 42,0719; 
71; 4,40087; 4,40087; 1,50988; 1,50988; 42,2116; 42,2117; 
72; 4,3927; 4,3927; 1,51574; 1,51575; 42,3489; 42,349; 
73; 4,38454; 4,38454; 1,52158; 1,52158; 42,4838; 42,4838; 
74; 4,37639; 4,37639; 1,52738; 1,52738; 42,6163; 42,6163; 
75; 4,36825; 4,36825; 1,53315; 1,53316; 42,7464; 42,7465; 
76; 4,36012; 4,36011; 1,5389; 1,5389; 42,8744; 42,8744; 
77; 4,35199; 4,35199; 1,54461; 1,54461; 43; 43,0001; 
78; 4,34387; 4,34387; 1,55029; 1,55029; 43,1235; 43,1236; 
79; 4,33576; 4,33575; 1,55594; 1,55594; 43,2449; 43,245; 
80; 4,32765; 4,32765; 1,56156; 1,56156; 43,3642; 43,3643; 
81; 4,31955; 4,31955; 1,56715; 1,56715; 43,4814; 43,4815; 
82; 4,31146; 4,31146; 1,57271; 1,57271; 43,5967; 43,5967; 
83; 4,30338; 4,30338; 1,57824; 1,57824; 43,7099; 43,71; 
84; 4,29531; 4,2953; 1,58374; 1,58374; 43,8213; 43,8213; 
85; 4,28724; 4,28724; 1,58921; 1,58921; 43,9308; 43,9308; 
