t;x;vx;y;vy
0.0000;0.0000;-0.0723;100.0000;0.0000
0.0100;-0.0007;-0.0722;99.9995;-0.0980
0.0200;-0.0014;-0.0720;99.9980;-0.1960
0.0300;-0.0022;-0.0718;99.9956;-0.2940
0.0400;-0.0029;-0.0714;99.9922;-0.3920
0.0500;-0.0036;-0.0709;99.9877;-0.4900
0.0600;-0.0043;-0.0703;99.9824;-0.5880
0.0700;-0.0050;-0.0696;99.9760;-0.6859
0.0800;-0.0057;-0.0688;99.9686;-0.7838
0.0900;-0.0064;-0.0679;99.9603;-0.8817
0.1000;-0.0070;-0.0669;99.9510;-0.9796
0.1100;-0.0077;-0.0658;99.9407;-1.0774
0.1200;-0.0084;-0.0646;99.9295;-1.1751
0.1300;-0.0090;-0.0633;99.9172;-1.2728
0.1400;-0.0096;-0.0618;99.9040;-1.3705
0.1500;-0.0102;-0.0603;99.8898;-1.4681
0.1600;-0.0108;-0.0586;99.8746;-1.5656
0.1700;-0.0114;-0.0569;99.8585;-1.6631
0.1800;-0.0120;-0.0550;99.8414;-1.7605
0.1900;-0.0125;-0.0531;99.8233;-1.8579
0.2000;-0.0130;-0.0510;99.8042;-1.9552
0.2100;-0.0135;-0.0488;99.7842;-2.0523
0.2200;-0.0140;-0.0465;99.7632;-2.1495
0.2300;-0.0145;-0.0441;99.7412;-2.2465
0.2400;-0.0149;-0.0416;99.7182;-2.3434
0.2500;-0.0153;-0.0390;99.6943;-2.4403
0.2600;-0.0157;-0.0363;99.6694;-2.5370
0.2700;-0.0160;-0.0335;99.6436;-2.6336
0.2800;-0.0163;-0.0306;99.6168;-2.7302
0.2900;-0.0166;-0.0276;99.5890;-2.8266
0.3000;-0.0169;-0.0245;99.5602;-2.9229
0.3100;-0.0171;-0.0213;99.5305;-3.0191
0.3200;-0.0173;-0.0179;99.4999;-3.1152
0.3300;-0.0175;-0.0145;99.4682;-3.2111
0.3400;-0.0176;-0.0110;99.4356;-3.3070
0.3500;-0.0177;-0.0073;99.4021;-3.4027
0.3600;-0.0178;-0.0036;99.3676;-3.4982
0.3700;-0.0178;0.0003;99.3321;-3.5937
0.3800;-0.0177;0.0042;99.2957;-3.6889
0.3900;-0.0177;0.0083;99.2583;-3.7841
0.4000;-0.0176;0.0125;99.2200;-3.8791
0.4100;-0.0174;0.0167;99.1808;-3.9739
0.4200;-0.0172;0.0211;99.1405;-4.0686
0.4300;-0.0170;0.0256;99.0994;-4.1631
0.4400;-0.0167;0.0301;99.0573;-4.2575
0.4500;-0.0164;0.0348;99.0142;-4.3517
0.4600;-0.0160;0.0396;98.9703;-4.4457
0.4700;-0.0156;0.0445;98.9253;-4.5395
0.4800;-0.0151;0.0494;98.8795;-4.6332
0.4900;-0.0146;0.0545;98.8327;-4.7267
0.5000;-0.0141;0.0597;98.7849;-4.8200
0.5100;-0.0134;0.0650;98.7363;-4.9132
0.5200;-0.0128;0.0704;98.6867;-5.0061
0.5300;-0.0120;0.0759;98.6361;-5.0989
0.5400;-0.0112;0.0814;98.5847;-5.1914
0.5500;-0.0104;0.0871;98.5323;-5.2838
0.5600;-0.0095;0.0929;98.4790;-5.3759
0.5700;-0.0085;0.0988;98.4248;-5.4679
0.5800;-0.0075;0.1048;98.3697;-5.5596
0.5900;-0.0064;0.1109;98.3136;-5.6512
0.6000;-0.0053;0.1171;98.2566;-5.7425
0.6100;-0.0041;0.1233;98.1988;-5.8336
0.6200;-0.0028;0.1297;98.1400;-5.9245
0.6300;-0.0015;0.1362;98.0803;-6.0152
0.6400;-0.0001;0.1428;98.0197;-6.1056
0.6500;0.0014;0.1495;97.9582;-6.1958
0.6600;0.0029;0.1562;97.8957;-6.2858
0.6700;0.0045;0.1631;97.8324;-6.3756
0.6800;0.0061;0.1701;97.7682;-6.4651
0.6900;0.0079;0.1771;97.7031;-6.5543
0.7000;0.0097;0.1843;97.6371;-6.6434
0.7100;0.0116;0.1915;97.5703;-6.7322
0.7200;0.0135;0.1989;97.5025;-6.8207
0.7300;0.0155;0.2063;97.4339;-6.9090
0.7400;0.0176;0.2139;97.3643;-6.9971
0.7500;0.0198;0.2215;97.2939;-7.0849
0.7600;0.0221;0.2292;97.2226;-7.1724
0.7700;0.0244;0.2371;97.1505;-7.2597
0.7800;0.0268;0.2450;97.0774;-7.3467
0.7900;0.0293;0.2530;97.0035;-7.4335
0.8000;0.0319;0.2611;96.9288;-7.5200
0.8100;0.0345;0.2693;96.8531;-7.6062
0.8200;0.0373;0.2776;96.7766;-7.6921
0.8300;0.0401;0.2860;96.6993;-7.7778
0.8400;0.0430;0.2945;96.6211;-7.8632
0.8500;0.0460;0.3030;96.5420;-7.9484
0.8600;0.0490;0.3117;96.4621;-8.0332
0.8700;0.0522;0.3204;96.3814;-8.1178
0.8800;0.0555;0.3293;96.2998;-8.2021
0.8900;0.0588;0.3382;96.2173;-8.2861
0.9000;0.0622;0.3472;96.1340;-8.3698
0.9100;0.0657;0.3563;96.0499;-8.4533
0.9200;0.0693;0.3655;95.9650;-8.5364
0.9300;0.0730;0.3748;95.8792;-8.6193
0.9400;0.0768;0.3842;95.7926;-8.7018
0.9500;0.0807;0.3936;95.7052;-8.7841
0.9600;0.0847;0.4032;95.6169;-8.8661
0.9700;0.0888;0.4128;95.5278;-8.9478
0.9800;0.0930;0.4225;95.4380;-9.0291
0.9900;0.0972;0.4324;95.3473;-9.1102
1.0000;0.1016;0.4423;95.2558;-9.1910
1.0100;0.1061;0.4522;95.1634;-9.2715
1.0200;0.1107;0.4623;95.0703;-9.3516
1.0300;0.1153;0.4725;94.9764;-9.4315
1.0400;0.1201;0.4827;94.8817;-9.5110
1.0500;0.1250;0.4930;94.7862;-9.5902
1.0600;0.1300;0.5034;94.6899;-9.6692
1.0700;0.1351;0.5139;94.5928;-9.7478
1.0800;0.1402;0.5245;94.4949;-9.8261
1.0900;0.1455;0.5351;94.3963;-9.9041
1.1000;0.1510;0.5459;94.2969;-9.9817
1.1100;0.1565;0.5567;94.1967;-10.0591
1.1200;0.1621;0.5676;94.0957;-10.1361
1.1300;0.1678;0.5786;93.9939;-10.2128
1.1400;0.1737;0.5896;93.8914;-10.2892
1.1500;0.1796;0.6008;93.7882;-10.3653
1.1600;0.1857;0.6120;93.6841;-10.4410
1.1700;0.1918;0.6233;93.5793;-10.5165
1.1800;0.1981;0.6347;93.4738;-10.5916
1.1900;0.2045;0.6461;93.3675;-10.6663
1.2000;0.2111;0.6576;93.2605;-10.7408
1.2100;0.2177;0.6693;93.1527;-10.8149
1.2200;0.2244;0.6809;93.0442;-10.8887
1.2300;0.2313;0.6927;92.9349;-10.9622
1.2400;0.2383;0.7045;92.8249;-11.0353
1.2500;0.2454;0.7165;92.7142;-11.1081
1.2600;0.2526;0.7284;92.6028;-11.1806
1.2700;0.2600;0.7405;92.4906;-11.2527
1.2800;0.2674;0.7527;92.3777;-11.3245
1.2900;0.2750;0.7649;92.2641;-11.3960
