==========================================;;;;;;;
Metoda Hooke'a-Jeevesa;;;;;;;
==========================================;;;;;;;
;;;;;;;
--- Krok startowy s = 1.000000 ---;;;;;;;
--- Tabela 1 (dane surowe) ---;;;;;;;
x1_start;x2_start;x1_opt;x2_opt;y_opt;f_calls;flag;
-0.939863;-0.528581;-0.000410;0.000716;2,17E-05; ;87;1
0.462144;0.113548;-0.000747;0.000267;2,00E-05; ;112;1
0.187976;-0.885121;-0.774914;-0.000355;0,619842; ;103;1
-0.999535;0.577726;0.000465;-0.000399;1,20E-05; ;82;1
-0.335662;-0.114013;0.000275;-0.000732;1,95E-05; ;111;1
-0.109819;-0.020080;-0.000444;-0.000549;1,59E-05; ;81;1
-0.848758;0.958919;0.151242;-0.041081;0,702507; ;20004;0
-0.493006;0.562468;-0.000818;-0.000032;2,14E-05; ;73;1
0.880212;-0.107936;-0.000647;-0.000515;2,18E-05; ;96;1
-0.463352;-0.172573;-0.000462;0.774693;0,619844; ;116;1
0.572135;0.902308;-0.000130;-0.000036;5,81E-07; ;112;1
-0.811481;0.015771;-0.774372;0.000146;0,619842; ;89;1
-0.284900;-0.062492;0.775646;0.000008;0,619864; ;73;1
-0.170673;-0.237830;0.774640;0.773889;1,2397; ;225;1
-0.094480;-0.688964;-0.000730;-0.774902;0,619855; ;80;1
0.203552;-0.587789;-0.774963;0.000102;0,619839; ;102;1
-0.906836;-0.349884;-0.000586;-0.000275;1,34E-05; ;103;1
0.321283;0.442356;0.000970;0.000950;5,87E-05; ;99;1
-0.502656;-0.749385;-0.000703;-0.774776;0,619853; ;81;1
-0.374886;0.027076;0.000114;-0.000268;2,70E-06; ;118;1
0.446188;0.349505;0.000875;-0.000104;2,48E-05; ;116;1
-0.540254;-0.728199;0.000761;-0.775074;0,61986; ;86;1
-0.197116;0.771677;0.775540;0.775583;1,23972; ;70;1
0.202888;0.349107;-0.775628;-0.000502;0,619871; ;108;1
0.311310;-0.275648;-0.774627;0.775134;1,23968; ;96;1
0.062087;-0.540429;-0.000413;0.000587;1,64E-05; ;88;1
-0.040353;-0.493686;0.000663;0.000454;2,06E-05; ;96;1
-0.639480;0.040770;-0.000808;-0.000246;2,27E-05; ;102;1
