a;x1_start;x2_start;x1_kon;x2_kon;y;L_wyw;Flaga;r
4.00000;2.99530;2.16662;2.70330;2.94729;-0.18912;2096;1;3.99929
4.00000;2.61631;1.68435;2.76719;2.88801;-0.18917;2414;1;3.99975
4.00000;1.95071;2.73304;2.70536;2.94540;-0.18912;2009;1;3.99929
4.00000;1.58730;1.22517;2.74744;2.90698;-0.18919;2419;1;3.99987
4.00000;1.38271;1.73892;2.79508;2.85894;-0.18900;1906;1;3.99825
4.00000;3.21941;1.53888;2.75389;2.90096;-0.18919;2712;1;3.99994
4.00000;3.54870;1.30022;2.68568;2.96414;-0.18919;2660;1;3.99987
4.00000;2.77612;2.27113;2.70541;2.94535;-0.18912;1966;1;3.99929
4.00000;3.58872;1.13439;2.75628;2.89866;-0.18919;2447;1;3.99991
4.00000;1.07783;2.00870;2.75206;2.90180;-0.18912;2133;1;3.99928
4.00000;1.47317;1.27019;2.71941;2.93328;-0.18919;2430;1;3.99992
4.00000;1.76078;1.83433;2.72798;2.92531;-0.18919;2625;1;3.99992
4.00000;2.62331;1.23270;2.72675;2.92645;-0.18919;2540;1;3.99991
4.00000;1.48605;1.84876;2.71442;2.93785;-0.18919;2410;1;3.99988
4.00000;2.08124;3.41240;2.72941;2.92397;-0.18919;2514;1;3.99991
4.00000;1.71874;3.57207;2.97293;2.67606;-0.18920;2840;1;3.99996
4.00000;1.51470;1.55478;2.74694;2.90745;-0.18919;2448;1;3.99987
4.00000;1.33546;1.30298;2.74696;2.90752;-0.18919;2671;1;3.99994
4.00000;1.31389;1.67066;2.71189;2.94023;-0.18919;2554;1;3.99991
4.00000;3.15899;1.45313;2.75221;2.90165;-0.18912;1829;1;3.99928
4.00000;1.77853;1.57442;2.78441;2.87077;-0.18912;2217;1;3.99928
4.00000;2.65198;2.38482;2.67729;2.97172;-0.18919;2494;1;3.99988
4.00000;1.56367;2.03764;2.72123;2.93161;-0.18919;2556;1;3.99993
4.00000;2.59276;2.91417;2.70599;2.94482;-0.18912;2136;1;3.99929
4.00000;2.74912;2.57643;2.71416;2.93813;-0.18919;2610;1;3.99991
4.00000;1.12711;1.31106;2.75216;2.90170;-0.18912;2043;1;3.99928
4.00000;2.93354;2.58930;2.76037;2.89348;-0.18908;2045;1;3.99899
4.00000;3.31809;2.19316;2.74794;2.90660;-0.18919;2679;1;3.99994
4.00000;2.68198;1.89593;2.74188;2.91191;-0.18916;2281;1;3.99964
4.00000;2.15465;2.66411;2.71203;2.94011;-0.18919;2556;1;3.99991
4.00000;3.02682;1.28167;2.72818;2.92512;-0.18919;2453;1;3.99991
4.00000;3.33477;1.44560;2.71865;2.93393;-0.18919;2529;1;3.99988
4.00000;2.32786;2.29975;2.72343;2.92954;-0.18919;2556;1;3.99991
4.00000;3.25562;1.63310;2.66534;2.98242;-0.18918;2336;1;3.99986
4.00000;2.39220;1.19976;2.71305;2.93911;-0.18919;2449;1;3.99988
4.00000;1.68606;1.85485;2.70763;2.94331;-0.18912;2215;1;3.99929
4.00000;2.60809;2.24234;2.77051;2.88513;-0.18920;2787;1;3.99997
4.00000;2.39539;1.25236;2.75214;2.90262;-0.18919;2798;1;3.99994
4.00000;2.12113;1.46971;2.72323;2.92974;-0.18919;2638;1;3.99992
4.00000;2.07314;2.90543;2.74502;2.90936;-0.18919;2688;1;3.99994
4.00000;1.87871;3.00967;2.70550;2.94527;-0.18912;2172;1;3.99929
4.00000;1.02227;1.37452;2.74493;2.90929;-0.18918;2393;1;3.99982
4.00000;2.57310;1.31002;2.72148;2.93138;-0.18919;2502;1;3.99993
4.00000;2.11678;2.42784;2.75198;2.90187;-0.18912;2034;1;3.99928
4.00000;1.19593;1.47958;2.70473;2.94625;-0.18914;2157;1;3.99949
4.00000;1.05069;3.14403;2.79525;2.85878;-0.18900;1843;1;3.99825
4.00000;2.34507;1.24335;2.74153;2.91224;-0.18916;2368;1;3.99965
4.00000;2.14545;1.27283;2.75203;2.90183;-0.18912;1993;1;3.99928
4.00000;1.33530;1.56482;2.76846;2.88680;-0.18917;2438;1;3.99975
4.00000;2.60393;1.12221;2.77429;2.88149;-0.18920;2763;1;3.99996
4.00000;1.97002;3.32679;2.71807;2.93447;-0.18919;2373;1;3.99988
4.00000;1.15457;1.28491;2.80095;2.85561;-0.18920;2833;1;3.99998
4.00000;1.20039;1.81248;2.71491;2.93740;-0.18919;2642;1;3.99988
4.00000;1.42045;2.35320;2.68597;2.96387;-0.18919;2399;1;3.99987
4.00000;1.71455;1.23932;2.71537;2.93696;-0.18919;2391;1;3.99987
4.00000;2.55683;2.98342;2.71404;2.93825;-0.18919;2564;1;3.99991
4.00000;1.08137;1.27032;2.71290;2.93925;-0.18919;2516;1;3.99988
4.00000;1.47344;1.73473;2.80408;2.85221;-0.18917;2350;1;3.99975
4.00000;1.80218;3.47652;2.71395;2.93828;-0.18919;2504;1;3.99988
4.00000;3.09873;1.81934;2.71118;2.94091;-0.18919;2389;1;3.99993
4.00000;2.09717;2.77052;2.77969;2.87512;-0.18910;2130;1;3.99912
4.00000;1.11693;2.44518;2.72012;2.93262;-0.18919;2465;1;3.99992
4.00000;1.00602;1.89935;2.75124;2.90257;-0.18912;1995;1;3.99928
4.00000;1.25342;2.73581;2.75323;2.90160;-0.18919;2533;1;3.99994
4.00000;2.48592;2.58850;2.77135;2.88429;-0.18919;2660;1;3.99994
4.00000;1.26390;3.61939;2.81286;2.84355;-0.18917;2340;1;3.99975
4.00000;1.12547;1.23203;2.70721;2.94370;-0.18912;2060;1;3.99929
4.00000;2.66636;1.72120;2.74731;2.90710;-0.18919;2432;1;3.99987
4.00000;3.08744;1.30791;2.71498;2.93734;-0.18919;2384;1;3.99988
4.00000;3.47256;1.47510;2.71522;2.93709;-0.18919;2435;1;3.99987
4.00000;1.70408;3.48559;2.74742;2.90700;-0.18919;2463;1;3.99987
4.00000;3.41313;1.80880;2.75335;2.90057;-0.18912;2088;1;3.99928
4.00000;2.17189;2.64434;2.71876;2.93388;-0.18919;2487;1;3.99991
4.00000;1.41046;3.67689;2.76052;2.89465;-0.18919;2448;1;3.99994
4.00000;1.27808;1.79146;2.71904;2.93361;-0.18919;2406;1;3.99991
4.00000;2.93083;1.11830;2.71875;2.93384;-0.18919;2635;1;3.99988
4.00000;2.31462;2.82293;2.75501;2.89987;-0.18919;2567;1;3.99991
4.00000;1.55194;3.21485;2.80610;2.84916;-0.18908;1889;1;3.99899
4.00000;3.52381;1.76167;2.77412;2.88162;-0.18919;2583;1;3.99994
4.00000;1.96464;2.08706;2.71502;2.93730;-0.18919;2558;1;3.99988
4.00000;1.00519;3.77248;2.78840;2.86786;-0.18920;2739;1;3.99997
4.00000;1.30050;1.38955;2.75202;2.90274;-0.18919;2611;1;3.99994
4.00000;1.69134;1.94473;2.74731;2.90710;-0.18919;2523;1;3.99987
4.00000;1.75816;1.67624;2.71446;2.93781;-0.18919;2396;1;3.99988
4.00000;2.08893;3.29721;2.71219;2.93995;-0.18919;2590;1;3.99991
4.00000;1.06314;3.38426;2.76736;2.88785;-0.18917;2414;1;3.99975
4.00000;3.20820;1.47042;2.77345;2.88227;-0.18919;2607;1;3.99994
4.00000;2.96515;1.83229;2.70493;2.94607;-0.18914;2412;1;3.99949
4.00000;2.02510;2.04875;2.71525;2.93708;-0.18919;2296;1;3.99988
4.00000;2.01765;2.31781;2.71340;2.93883;-0.18919;2363;1;3.99991
4.00000;2.67327;2.75750;2.75157;2.90226;-0.18912;2041;1;3.99928
4.00000;1.84152;1.98746;2.79539;2.85864;-0.18900;1873;1;3.99825
4.00000;1.66759;3.11954;2.73036;2.92308;-0.18919;2489;1;3.99991
4.00000;2.70466;1.31425;2.70486;2.94613;-0.18914;2162;1;3.99949
4.00000;2.29525;1.70658;2.74839;2.90591;-0.18917;2378;1;3.99975
4.00000;3.25549;1.19765;2.75404;2.90082;-0.18919;2677;1;3.99994
4.00000;2.69939;1.16745;2.76751;2.88463;-0.18891;1852;1;3.99753
4.00000;1.60808;2.82644;2.76743;2.88471;-0.18891;1893;1;3.99753
4.00000;1.13043;1.95596;2.74655;2.90792;-0.18919;2741;1;3.99994
4.00000;1.41115;2.74872;2.72344;2.92952;-0.18919;2629;1;3.99991
4.49340;1.98236;1.65037;3.03152;3.31636;-0.21723;3330;1;4.49315
4.49340;3.26983;2.04870;3.02609;3.32123;-0.21723;3207;1;4.49308
4.49340;3.56688;1.27916;3.03958;3.30905;-0.21723;3326;1;4.49320
4.49340;3.53056;1.55222;3.03524;3.31287;-0.21723;3238;1;4.49308
4.49340;1.82481;3.80566;3.01658;3.33013;-0.21723;3267;1;4.49327
4.49340;1.91529;2.65280;2.99590;3.34872;-0.21723;3412;1;4.49325
4.49340;2.06167;2.19988;3.12915;3.22467;-0.21723;3683;1;4.49334
4.49340;2.32402;2.19755;3.00050;3.34463;-0.21723;3502;1;4.49328
4.49340;2.41432;2.58830;3.02430;3.32284;-0.21723;3178;1;4.49307
4.49340;3.13116;3.06951;2.97963;3.36319;-0.21723;3448;1;4.49324
4.49340;2.91166;2.43654;3.03439;3.31364;-0.21723;3399;1;4.49308
4.49340;1.80315;2.75812;3.00753;3.33827;-0.21723;3427;1;4.49325
4.49340;1.50565;2.74126;3.02085;3.32533;-0.21723;2774;1;4.49259
4.49340;3.85129;1.40070;3.06855;3.28237;-0.21723;3687;1;4.49332
4.49340;1.18568;3.06532;3.05369;3.29491;-0.21723;2582;1;4.49238
4.49340;3.96024;1.92320;2.99811;3.34674;-0.21723;3334;1;4.49325
4.49340;1.19916;2.54987;3.03954;3.30908;-0.21723;3047;1;4.49320
4.49340;2.93763;2.85030;3.01314;3.33319;-0.21723;3466;1;4.49324
4.49340;2.03792;2.88886;3.08396;3.26790;-0.21723;3787;1;4.49332
4.49340;3.76608;1.81160;3.03924;3.30789;-0.21723;2892;1;4.49211
4.49340;1.59776;1.72555;2.99348;3.35091;-0.21723;3352;1;4.49328
4.49340;1.02620;2.18752;3.09733;3.25477;-0.21723;3445;1;4.49300
4.49340;2.18440;3.55456;3.11098;3.24219;-0.21723;3891;1;4.49332
4.49340;1.39619;3.44173;3.04271;3.30424;-0.21723;2782;1;4.49178
4.49340;1.91128;3.10234;2.99852;3.34641;-0.21723;3561;1;4.49328
4.49340;4.22458;1.33311;2.99283;3.35143;-0.21723;3253;1;4.49323
4.49340;1.43125;3.48221;3.08562;3.26621;-0.21723;3811;1;4.49324
4.49340;1.86308;2.55330;2.99371;3.35071;-0.21723;3802;1;4.49328
4.49340;3.00756;1.28917;3.03433;3.31370;-0.21723;3133;1;4.49308
4.49340;1.90945;2.33937;3.08709;3.26487;-0.21723;3424;1;4.49327
4.49340;1.13787;4.31440;3.03738;3.31112;-0.21723;3594;1;4.49324
4.49340;2.01926;1.37154;3.01440;3.33173;-0.21723;3399;1;4.49300
4.49340;1.16121;1.88095;3.03656;3.31182;-0.21723;3352;1;4.49320
4.49340;3.22154;2.04057;3.00950;3.33650;-0.21723;3427;1;4.49325
4.49340;1.55609;3.59788;3.08750;3.26449;-0.21723;3597;1;4.49328
4.49340;1.41176;1.34013;3.06453;3.28568;-0.21723;3266;1;4.49300
4.49340;3.07889;2.51609;3.00020;3.34490;-0.21723;3519;1;4.49328
4.49340;1.31753;3.98349;3.07684;3.27460;-0.21723;3644;1;4.49332
4.49340;1.23090;3.02129;3.02821;3.31928;-0.21723;3282;1;4.49307
4.49340;1.12063;3.04112;2.99925;3.34575;-0.21723;3699;1;4.49328
4.49340;1.81146;1.41965;3.09138;3.26090;-0.21723;3571;1;4.49334
4.49340;1.33699;3.40352;3.00939;3.33660;-0.21723;3516;1;4.49325
4.49340;1.36675;2.27053;3.03649;3.31204;-0.21723;3514;1;4.49331
4.49340;3.45719;2.29935;3.00924;3.33673;-0.21723;3408;1;4.49325
