a;x1_start;x2_start;x1_kon;x2_kon;y;L_wyw;Flaga;r
4.00000;2.99530;2.16662;2.91671;2.73839;-0.18929;554;1;4.00074
4.00000;2.61631;1.68435;2.84725;2.81077;-0.18931;645;1;4.00091
4.00000;1.95071;2.73304;2.91993;2.73494;-0.18929;531;1;4.00074
4.00000;1.58730;1.22517;3.10252;2.52479;-0.18920;913;1;4.00003
4.00000;1.38271;1.73892;2.76960;2.88709;-0.18929;571;1;4.00074
4.00000;3.21941;1.53888;3.21151;2.38457;-0.18920;1433;1;4.00000
4.00000;3.54870;1.30022;3.19867;2.40182;-0.18920;938;1;4.00003
4.00000;2.77612;2.27113;2.67083;2.97891;-0.18931;589;1;4.00091
4.00000;3.58872;1.13439;3.16878;2.44108;-0.18920;1504;1;4.00000
4.00000;1.07783;2.00870;2.17793;3.35509;-0.18920;1258;1;4.00000
4.00000;1.47317;1.27019;2.82233;2.83557;-0.18929;599;1;4.00076
4.00000;1.76078;1.83433;2.69338;2.95747;-0.18921;595;1;4.00011
4.00000;2.62331;1.23270;2.89653;2.75972;-0.18929;560;1;4.00074
4.00000;1.48605;1.84876;2.41311;3.19013;-0.18920;1189;1;4.00000
4.00000;2.08124;3.41240;2.97437;2.67589;-0.18931;619;1;4.00091
4.00000;1.71874;3.57207;2.67545;2.97476;-0.18931;616;1;4.00091
4.00000;1.51470;1.55478;2.69163;2.96013;-0.18931;586;1;4.00091
4.00000;1.33546;1.30298;2.82540;2.83252;-0.18929;600;1;4.00076
4.00000;1.31389;1.67066;2.24975;3.30736;-0.18920;1324;1;4.00000
4.00000;3.15899;1.45313;2.98511;2.66391;-0.18931;604;1;4.00091
4.00000;1.77853;1.57442;3.20689;2.39080;-0.18920;1166;1;4.00001
4.00000;2.65198;2.38482;2.89924;2.75687;-0.18929;557;1;4.00074
4.00000;1.56367;2.03764;2.77132;2.88456;-0.18921;867;1;4.00011
4.00000;2.59276;2.91417;2.90091;2.75511;-0.18929;577;1;4.00074
4.00000;2.74912;2.57643;2.76103;2.89528;-0.18929;576;1;4.00074
4.00000;1.12711;1.31106;2.39631;3.20280;-0.18920;947;1;4.00003
4.00000;2.93354;2.58930;2.94184;2.71160;-0.18931;599;1;4.00091
4.00000;3.31809;2.19316;2.52963;3.09858;-0.18920;903;1;4.00003
4.00000;2.68198;1.89593;3.15761;2.45551;-0.18920;1255;1;4.00000
4.00000;2.15465;2.66411;2.58238;3.05474;-0.18920;1082;1;4.00001
4.00000;3.02682;1.28167;2.83940;2.81848;-0.18929;589;1;4.00075
4.00000;3.33477;1.44560;3.23813;2.34831;-0.18920;1077;1;4.00001
4.00000;2.32786;2.29975;3.20247;2.39675;-0.18920;931;1;4.00003
4.00000;3.25562;1.63310;3.30762;2.24936;-0.18920;1388;1;4.00000
4.00000;2.39220;1.19976;2.89468;2.76166;-0.18929;580;1;4.00074
4.00000;1.68606;1.85485;2.74080;2.91444;-0.18929;584;1;4.00074
4.00000;2.60809;2.24234;2.54728;3.08419;-0.18921;796;1;4.00010
4.00000;2.39539;1.25236;2.84984;2.80792;-0.18929;574;1;4.00075
4.00000;2.12113;1.46971;2.54666;3.08469;-0.18921;813;1;4.00010
4.00000;2.07314;2.90543;2.67183;2.97801;-0.18931;553;1;4.00091
4.00000;1.87871;3.00967;2.47124;3.14531;-0.18920;1208;1;4.00000
4.00000;1.02227;1.37452;2.57987;3.05692;-0.18921;929;1;4.00006
4.00000;2.57310;1.31002;3.03451;2.60645;-0.18923;763;1;4.00023
4.00000;2.11678;2.42784;2.94849;2.70320;-0.18921;571;1;4.00011
4.00000;1.19593;1.47958;2.58209;3.05498;-0.18920;1037;1;4.00001
4.00000;1.05069;3.14403;2.52320;3.10382;-0.18920;1017;1;4.00003
4.00000;2.34507;1.24335;2.87094;2.78657;-0.18931;619;1;4.00091
4.00000;2.14545;1.27283;2.93304;2.71996;-0.18921;594;1;4.00011
4.00000;1.33530;1.56482;2.75776;2.89839;-0.18929;584;1;4.00074
4.00000;2.60393;1.12221;3.04312;2.59613;-0.18921;919;1;4.00006
4.00000;1.97002;3.32679;2.99400;2.65387;-0.18930;536;1;4.00089
4.00000;1.15457;1.28491;2.52100;3.10559;-0.18920;1127;1;4.00001
4.00000;1.20039;1.81248;2.31699;3.26062;-0.18920;1101;1;4.00001
4.00000;1.42045;2.35320;2.53285;3.09595;-0.18920;898;1;4.00003
4.00000;1.71455;1.23932;2.76655;2.89002;-0.18929;573;1;4.00075
4.00000;2.55683;2.98342;2.89674;2.75950;-0.18929;573;1;4.00074
4.00000;1.08137;1.27032;2.62898;3.01501;-0.18923;769;1;4.00023
4.00000;1.47344;1.73473;2.77564;2.88129;-0.18929;602;1;4.00075
4.00000;1.80218;3.47652;2.66651;2.98278;-0.18931;602;1;4.00090
4.00000;3.09873;1.81934;2.89652;2.75974;-0.18929;581;1;4.00074
4.00000;2.09717;2.77052;2.74447;2.91098;-0.18929;562;1;4.00074
4.00000;1.11693;2.44518;2.73086;2.92289;-0.18921;582;1;4.00011
4.00000;1.00602;1.89935;2.65998;2.98770;-0.18923;785;1;4.00023
4.00000;1.25342;2.73581;2.70765;2.94441;-0.18921;591;1;4.00011
4.00000;2.48592;2.58850;2.76128;2.89505;-0.18929;588;1;4.00074
4.00000;1.26390;3.61939;2.34873;3.23782;-0.18920;1166;1;4.00000
4.00000;1.12547;1.23203;2.97159;2.67898;-0.18931;609;1;4.00091
4.00000;2.66636;1.72120;2.96292;2.68856;-0.18931;563;1;4.00091
4.00000;3.08744;1.30791;2.97125;2.67936;-0.18931;608;1;4.00091
4.00000;3.47256;1.47510;3.05705;2.57971;-0.18921;876;1;4.00006
4.00000;1.70408;3.48559;2.51583;3.10976;-0.18920;1315;1;4.00000
4.00000;3.41313;1.80880;2.88646;2.77026;-0.18929;575;1;4.00074
4.00000;2.17189;2.64434;2.96966;2.68111;-0.18931;617;1;4.00091
4.00000;1.41046;3.67689;2.74011;2.91509;-0.18929;563;1;4.00074
4.00000;1.27808;1.79146;2.59927;3.04051;-0.18921;836;1;4.00011
4.00000;2.93083;1.11830;3.05643;2.58045;-0.18921;912;1;4.00006
4.00000;2.31462;2.82293;3.04823;2.59021;-0.18921;835;1;4.00011
4.00000;1.55194;3.21485;2.14275;3.37820;-0.18925;644;1;4.00045
4.00000;3.52381;1.76167;2.94031;2.71327;-0.18931;598;1;4.00091
4.00000;1.96464;2.08706;2.73928;2.91587;-0.18929;581;1;4.00074
4.00000;1.00519;3.77248;2.21572;3.33026;-0.18920;1028;1;4.00001
4.00000;1.30050;1.38955;2.48261;3.13638;-0.18920;970;1;4.00003
4.00000;1.69134;1.94473;3.12031;2.50282;-0.18921;846;1;4.00006
4.00000;1.75816;1.67624;2.91975;2.73513;-0.18929;579;1;4.00074
4.00000;2.08893;3.29721;2.77654;2.88042;-0.18929;584;1;4.00075
4.00000;1.06314;3.38426;2.72183;2.93131;-0.18921;567;1;4.00011
4.00000;3.20820;1.47042;3.05698;2.57973;-0.18920;1088;1;4.00001
4.00000;2.96515;1.83229;2.90945;2.74609;-0.18929;575;1;4.00074
4.00000;2.02510;2.04875;2.82746;2.83047;-0.18929;579;1;4.00076
4.00000;2.01765;2.31781;2.91388;2.74139;-0.18929;613;1;4.00074
4.00000;2.67327;2.75750;2.80454;2.85317;-0.18929;594;1;4.00075
4.00000;1.84152;1.98746;2.83644;2.82146;-0.18929;591;1;4.00075
4.00000;1.66759;3.11954;2.58881;3.04942;-0.18921;813;1;4.00011
4.00000;2.70466;1.31425;2.97020;2.68051;-0.18931;574;1;4.00090
