Dlugosc kroku,Lp.,x1(0),x2(0),Metoda najszybszego spadku,,,,,,Metoda gradientow sprzezonych,,,,,,Metoda Newtona,,,,,,
,,,,x1*,x2*,y*,f_calls,g_calls,MinGlob,x1*,x2*,y*,f_calls,g_calls,MinGlob,x1*,x2*,y*,f_calls,g_calls,H_calls,MinGlob
0.05,1,0.620979,-1.45783,0.00418083,-0.01009,9.45816e-05,63,62,TAK,0.000677196,-0.00237398,4.94532e-06,21,20,TAK,1.07054,-0.535289,0.877362,214,213,213,NIE
,2,1.08524,-1.82212,1.74846,-0.883077,0.298722,44,43,NIE,1.74776,-0.875746,0.298642,17,16,NIE,1.07054,-0.53529,0.877362,218,217,217,NIE
,3,0.634147,1.56985,-0.00441198,0.0106523,0.000105404,57,56,TAK,-7.43996e-05,0.00118593,1.32927e-06,23,22,TAK,1.07054,-0.535252,0.877362,227,226,226,NIE
,4,-0.832364,1.50573,-0.00426598,0.0102934,9.84389e-05,68,67,TAK,nan,nan,nan,10000,10000,NIE,-1.07054,0.535289,0.877362,214,213,213,NIE
,5,-0.124848,-1.85906,0.00422068,-0.0101878,9.64198e-05,62,61,TAK,5.33924e-05,-0.0018559,3.35099e-06,22,21,TAK,-1.18949e-06,-1.80883e-05,3.51531e-10,226,225,225,TAK
,6,0.350764,-0.978965,0.00437177,-0.0105516,0.000103432,56,55,TAK,0.000921907,-0.00156645,2.70947e-06,22,21,TAK,5.60768e-06,-1.80246e-05,2.86701e-10,213,212,212,TAK
,7,0.73253,-0.563206,0.00432263,-0.0104278,0.000101034,55,54,TAK,0.000404496,0.000721424,1.1395e-06,22,21,TAK,1.07052,-0.535276,0.877362,187,186,186,NIE
,8,-1.80234,-0.344228,-1.74666,0.864625,0.298719,50,49,NIE,-1.74741,0.871934,0.298642,20,19,NIE,-1.74755,0.873757,0.298638,217,216,216,NIE
,9,1.4446,1.63585,0.0042879,-0.0103347,9.92645e-05,71,70,TAK,nan,nan,nan,10000,10000,NIE,1.07054,-0.535253,0.877362,229,228,228,NIE
,10,-1.48029,-0.206676,-1.7467,0.865095,0.298711,50,49,NIE,-1.74728,0.872138,0.298641,20,19,NIE,-1.07054,0.535253,0.877362,215,214,214,NIE
,11,-0.692971,-1.42464,0.0044347,-0.0107093,0.00010653,55,54,TAK,-6.54423e-05,-0.00162977,2.77138e-06,22,21,TAK,-1.07054,0.535253,0.877362,226,225,225,NIE
,12,0.413561,1.87709,-0.00427209,0.0103124,9.87916e-05,61,60,TAK,-7.94637e-05,0.00130268,1.60608e-06,23,22,TAK,3.15345e-06,1.86852e-05,4.27949e-10,226,225,225,TAK
,13,0.663589,1.74025,-0.00419727,0.0101331,9.53824e-05,59,58,TAK,-6.65203e-05,0.00128577,1.57652e-06,23,22,TAK,1.07054,-0.535253,0.877362,229,228,228,NIE
,14,0.856974,1.34943,-0.00419056,0.010126,9.52229e-05,53,52,TAK,4.66963e-05,0.00155036,2.48037e-06,22,21,TAK,1.07054,-0.535253,0.877362,226,225,225,NIE
,15,-1.70249,0.188227,-1.74663,0.864372,0.298723,44,43,NIE,-1.74733,0.872153,0.298641,19,18,NIE,-1.74755,0.873758,0.298638,206,205,205,NIE
,16,-0.805857,1.67735,-0.00428032,0.0103281,9.91032e-05,69,68,TAK,nan,nan,nan,10000,10000,NIE,-1.07054,0.535289,0.877362,217,216,216,NIE
,17,1.12002,0.858609,0.00514849,-0.00995995,0.000100935,35,34,TAK,-0.00175618,0.002747,8.89014e-06,34,33,TAK,1.07054,-0.535253,0.877362,220,219,219,NIE
,18,0.643692,0.705308,-0.00422347,0.010272,9.7805e-05,43,42,TAK,-0.00131507,0.00280131,7.62224e-06,18,17,TAK,1.07054,-0.535253,0.877362,217,216,216,NIE
,19,1.22979,1.32963,0.00299442,0.0019728,2.77324e-05,31,30,TAK,0.000480317,0.000540854,1.01371e-06,41,40,TAK,1.07054,-0.535253,0.877362,226,225,225,NIE
,20,-1.16573,0.397302,-1.74668,0.864873,0.298715,48,47,NIE,nan,nan,nan,10000,10000,NIE,-1.07055,0.535256,0.877362,179,178,178,NIE
,21,0.388232,-1.3256,0.00422208,-0.0101904,9.64712e-05,60,59,TAK,0.00128324,-0.00208956,4.97827e-06,22,21,TAK,4.3761e-06,-1.79422e-05,2.81707e-10,219,218,218,TAK
,22,1.98346,-1.93853,1.7484,-0.882468,0.298711,49,48,NIE,1.74786,-0.875959,0.298643,20,19,NIE,1.74756,-0.873793,0.298638,218,217,217,NIE
,23,-0.214856,1.54051,-0.00418294,0.0100964,9.46979e-05,61,60,TAK,-0.000883878,0.00219619,4.44456e-06,22,21,TAK,-2.41285e-06,1.83139e-05,3.02855e-10,222,221,221,TAK
,24,0.943972,-1.83419,1.74839,-0.882351,0.298709,38,37,NIE,nan,nan,nan,10000,10000,NIE,1.07054,-0.535289,0.877362,219,218,218,NIE
,25,-1.5784,0.180588,-1.74668,0.864888,0.298714,45,44,NIE,-1.74738,0.872198,0.298641,19,18,NIE,-1.74755,0.873757,0.298638,205,204,204,NIE
,26,-1.79039,1.05095,-1.74842,0.882691,0.298715,31,30,NIE,-1.74785,0.875831,0.298643,15,14,NIE,-1.74756,0.873794,0.298638,181,180,180,NIE
,27,-0.275902,-0.206438,0.00349225,-0.0107077,0.000101651,25,24,TAK,0.00112278,-0.00102348,2.41963e-06,16,15,TAK,-1.38533e-05,-1.22273e-05,7.02722e-10,192,191,191,TAK
,28,1.94652,-0.477038,1.74671,-0.865181,0.298709,39,38,NIE,1.74744,-0.872137,0.298641,18,17,NIE,1.74757,-0.873763,0.298638,199,198,198,NIE
,29,-0.710983,-1.62598,0.0044304,-0.0106971,0.000106292,57,56,TAK,5.38477e-05,-0.00121366,1.41341e-06,23,22,TAK,-1.07054,0.535253,0.877362,228,227,227,NIE
,30,0.953021,1.93952,-0.00442442,0.0106832,0.000106015,58,57,TAK,5.42448e-06,0.00137174,1.88917e-06,23,22,TAK,1.07054,-0.535253,0.877362,231,230,230,NIE
,31,0.443106,0.536762,-0.00436006,0.0106056,0.000104258,41,40,TAK,-0.00101255,0.00283703,7.22663e-06,18,17,TAK,9.04078e-06,1.60474e-05,5.66073e-10,206,205,205,TAK
,32,1.22917,-1.63236,1.74845,-0.882988,0.29872,43,42,NIE,1.74761,-0.875461,0.298641,19,18,NIE,1.07054,-0.53529,0.877362,215,214,214,NIE
,33,-1.85288,-1.09648,-1.74665,0.864591,0.298719,55,54,NIE,-1.74724,0.870349,0.29865,12,11,NIE,-1.74755,0.873758,0.298638,227,226,226,NIE
,34,0.631712,0.976307,-0.00413605,0.00999814,9.28235e-05,50,49,TAK,5.85814e-05,0.0011787,1.46525e-06,22,21,TAK,1.07054,-0.535253,0.877362,221,220,220,NIE
,35,0.922415,-1.58151,1.74671,-0.865178,0.298709,43,42,NIE,nan,nan,nan,10000,10000,NIE,1.07054,-0.535289,0.877362,215,214,214,NIE
,36,1.56643,0.690357,1.74666,-0.864657,0.298718,53,52,NIE,1.74731,-0.871483,0.298643,20,19,NIE,1.74755,-0.873758,0.298638,222,221,221,NIE
,37,-1.12562,-0.847082,-0.00491148,0.0102827,0.000103476,37,36,TAK,-0.000984179,-0.00019783,2.17105e-06,41,40,TAK,-1.07054,0.535253,0.877362,220,219,219,NIE
,38,0.750978,-0.718062,0.00440774,-0.0106344,0.000105073,57,56,TAK,0.00106469,-0.00104705,2.24866e-06,21,20,TAK,1.07053,-0.535283,0.877362,192,191,191,NIE
,39,-0.368966,1.46301,-0.00423088,0.0102117,9.68744e-05,61,60,TAK,-0.00123044,0.00227041,5.38914e-06,22,21,TAK,-3.83765e-06,1.79847e-05,2.83885e-10,221,220,220,TAK
,40,1.3699,0.4855,1.74669,-0.864914,0.298714,53,52,NIE,1.74744,-0.872135,0.298641,19,18,NIE,1.07055,-0.535253,0.877362,215,214,214,NIE
,41,-1.69968,0.0875137,-1.74669,0.864932,0.298714,46,45,NIE,-1.74731,0.87193,0.298642,19,18,NIE,-1.74755,0.873758,0.298638,209,208,208,NIE
,42,-1.88378,-0.550375,-1.74669,0.864999,0.298712,52,51,NIE,-1.74739,0.872204,0.298641,21,20,NIE,-1.74755,0.873758,0.298638,220,219,219,NIE
,43,0.893113,1.57765,-0.00437744,0.0105732,0.000103833,55,54,TAK,2.06541e-05,0.00112313,1.28547e-06,23,22,TAK,1.07054,-0.535253,0.877362,228,227,227,NIE
,44,-1.6039,-0.225313,-1.74664,0.864406,0.298723,49,48,NIE,-1.74729,0.871999,0.298642,20,19,NIE,-1.74755,0.873758,0.298638,215,214,214,NIE
,45,0.151174,1.28201,-0.00425172,0.0102639,9.78622e-05,57,56,TAK,-0.000263291,0.00154126,2.10832e-06,22,21,TAK,2.15034e-06,1.88221e-05,4.03992e-10,218,217,217,TAK
,46,-1.23034,1.45316,-1.7484,0.882486,0.298711,40,39,NIE,-1.74762,0.875408,0.298641,18,17,NIE,-1.07055,0.535289,0.877362,212,211,211,NIE
,47,0.478719,-1.27145,0.00426268,-0.010288,9.83289e-05,60,59,TAK,0.00130304,-0.0019673,4.70262e-06,22,21,TAK,4.97144e-06,-1.76123e-05,2.72066e-10,218,217,217,TAK
,48,0.796817,-0.0292689,0.00427363,-0.0102732,9.81618e-05,47,46,TAK,0.000864759,0.000151165,1.64919e-06,23,22,TAK,1.07053,-0.535254,0.877362,201,200,200,NIE
