Nr iteracji,Metoda najszybszego spadku,,,,,,Metoda gradientow sprzezonych,,,,,,Metoda Newtona,,,,,,
,0.05,,0.25,,M. zk.,,0.05,,0.25,,M. zk.,,0.05,,0.25,,M. zk.,
,x1*,x2*,x1*,x2*,x1*,x2*,x1*,x2*,x1*,x2*,x1*,x2*,x1*,x2*,x1*,x2*,x1*,x2*
0,0.620979,-1.45783,0.620979,-1.45783,0.620979,-1.45783,0.620979,-1.45783,0.620979,-1.45783,0.620979,-1.45783,0.620979,-1.45783,0.620979,-1.45783,0.620979,-1.45783
1,0.615343,-1.34309,0.592803,-0.884158,0.56159,-0.248632,0.615343,-1.34309,0.592803,-0.884158,0.56159,-0.248632,0.723379,-1.45166,1.13298,-1.42699,1.7899,-1.38744
2,0.603948,-1.23955,0.421474,-0.59028,0.0743521,-0.272563,0.599314,-1.1452,0.411591,-0.389049,0.00015398,0.03625,0.756441,-1.41369,1.11743,-1.20409,1.75173,-0.875863
3,0.587379,-1.14579,0.222859,-0.400508,0.0622254,-0.0256552,0.566821,-0.922017,0.0610898,-0.00662854,-0.0121073,0.0158405,0.782429,-1.37491,1.10577,-1.03692,1.7476,-0.873799
4,0.566255,-1.06058,0.111612,-0.255969,0.0076854,-0.0283339,0.513081,-0.708457,-0.0169109,0.0019332,-0.000779312,-0.000993437,0.804225,-1.33663,1.09701,-0.91153,1.74755,-0.873776
5,0.541251,-0.982837,0.0654478,-0.155887,0.00642374,-0.00264588,0.43357,-0.508659,-0.00648425,0.00585245,0.000223447,-0.000509799,0.823119,-1.29935,1.09043,-0.817481,,
6,0.513118,-0.911616,0.0392659,-0.0943057,0.000792646,-0.00292244,0.3268,-0.324084,-0.000462429,0.00492354,8.03201e-05,5.20755e-06,0.839834,-1.26332,1.08548,-0.746939,,
7,0.482667,-0.84611,0.02364,-0.0569693,0.000662514,-0.00027288,0.209537,-0.177927,0.000132913,0.002367,-2.78067e-06,1.35779e-05,0.854824,-1.22864,1.08175,-0.694028,,
8,0.450743,-0.785633,0.0142562,-0.0343946,8.1749e-05,-0.000301404,0.119282,-0.09688,-0.000395853,0.000309042,-4.57278e-06,3.60598e-06,0.868402,-1.19537,1.07896,-0.654343,,
9,0.418177,-0.729607,0.0086017,-0.0207614,6.83278e-05,-2.81432e-05,0.0686181,-0.0644149,-0.000104835,0.000146164,-9.29108e-08,-3.72514e-07,0.880794,-1.16351,1.07686,-0.624577,,
10,0.385739,-0.677555,0.00519101,-0.0125311,8.43111e-06,-3.1085e-05,0.0416726,-0.0508245,-1.74497e-05,8.86057e-05,1.07218e-07,-1.83511e-07,0.892169,-1.13304,1.07528,-0.602252,,
11,0.354095,-0.629086,0.00313292,-0.00756331,7.04692e-06,-2.90252e-06,0.0262134,-0.0429429,-1.55258e-06,3.50973e-05,,,0.90266,-1.10394,1.0741,-0.585507,,
12,0.323776,-0.583882,0.00189086,-0.00456489,8.69533e-07,-3.20592e-06,0.0163875,-0.0365259,-5.36719e-06,6.46864e-06,,,0.912372,-1.07616,1.07321,-0.572949,,
13,0.295165,-0.541683,0.00114123,-0.00275516,7.26777e-07,-2.99349e-07,0.00954521,-0.0301714,-1.81133e-06,3.11887e-06,,,0.921392,-1.04967,1.07254,-0.56353,,
14,0.268504,-0.502273,0.000688791,-0.00166289,8.96784e-08,-3.3064e-07,0.00467959,-0.0234845,-3.18459e-07,1.57774e-06,,,0.929791,-1.02442,1.07204,-0.556465,,
15,0.243912,-0.465471,0.000415722,-0.00100364,,,0.00158563,-0.0167904,-6.25581e-08,5.25881e-07,,,0.93763,-1.00037,1.07167,-0.551167,,
16,0.221407,-0.431119,0.00025091,-0.000605751,,,0.000172756,-0.0110035,-9.83237e-08,1.42333e-07,,,0.944959,-0.977453,1.07139,-0.547193,,
17,0.200935,-0.399078,0.000151438,-0.000365603,,,-3.88296e-05,-0.00693326,,,,,0.951825,-0.955637,1.07118,-0.544212,,
18,0.182389,-0.369217,9.14007e-05,-0.000220661,,,0.000227201,-0.00453748,,,,,0.958264,-0.934871,1.07102,-0.541977,,
19,0.165636,-0.341414,5.51652e-05,-0.000133181,,,0.000508502,-0.00319571,,,,,0.964312,-0.915108,1.0709,-0.540301,,
20,0.150528,-0.315555,3.32952e-05,-8.03816e-05,,,0.000677196,-0.00237398,,,,,0.969998,-0.896303,1.07081,-0.539043,,
21,0.136912,-0.291526,2.00954e-05,-4.85146e-05,,,0.000738723,-0.00178919,,,,,0.97535,-0.878414,1.07074,-0.5381,,
22,0.124643,-0.269219,1.21287e-05,-2.92812e-05,,,0.000715188,-0.00131693,,,,,0.980391,-0.861398,1.07069,-0.537393,,
23,0.11358,-0.248529,7.32029e-06,-1.76727e-05,,,0.000622849,-0.000917026,,,,,0.985143,-0.845213,1.07066,-0.536863,,
24,0.103597,-0.229355,4.41818e-06,-1.06664e-05,,,0.000484055,-0.000596293,,,,,0.989626,-0.829823,1.07063,-0.536465,,
